Net zero
Carbon neutral
Climate leader
Climate leadership
Climate solutions
Sustainable action
Climate action
Climate target
Emissions reduction
Emissions target
Emissions inventory
Calculated emissions
Emissions off-set 
Disclosed emissions
Disclosed GHG
Elimination GHG
Reduction GHG
Compensation GHG
Low Carbon
Mitigation
Carbon off-set
Carbon foot print
Scope 1
Scope 2
Scope 3
Transition
Resilience
Minimizing impact
Goals
Climate friendship
Warming target
Removing CO2
Carbon dioxide capture
Renewables energy
Decarbonization
 
