Date,S&P500,BA,GD,WFM
6/1/2009,919.320007,42.5,55.389999,9.49
7/1/2009,987.47998,42.91,55.389999,12.095
8/1/2009,1020.619995,49.669998,59.189999,14.54
9/1/2009,1057.079956,54.150002,64.599998,15.245
10/1/2009,1036.189941,47.799999,62.700001,16.030001
11/1/2009,1095.630005,52.41,65.900002,12.825
12/1/2009,1115.099976,54.130001,68.169998,13.725
1/1/2010,1073.869995,60.599998,66.849998,13.61
2/1/2010,1104.48999,63.16,72.550003,17.745001
3/1/2010,1169.430054,72.610001,77.199997,18.075001
4/1/2010,1186.689941,72.43,76.360001,19.51
5/1/2010,1089.410034,64.18,67.900002,20.215
6/1/2010,1030.709961,62.75,58.560001,18.01
7/1/2010,1101.599976,68.139999,61.25,18.985001
8/1/2010,1049.329956,61.130001,55.869999,17.395
9/1/2010,1141.199951,66.540001,62.810001,18.555
10/1/2010,1183.26001,70.639999,68.120003,19.875
11/1/2010,1180.550049,63.77,66.089996,23.610001
12/1/2010,1257.640015,65.260002,70.959999,25.295
1/1/2011,1286.119995,69.480003,75.400002,25.855
2/1/2011,1327.219971,72.010002,76.120003,29.280001
3/1/2011,1325.829956,73.93,76.559998,32.950001
4/1/2011,1363.609985,79.779999,72.82,31.379999
5/1/2011,1345.199951,78.029999,74.220001,30.58
6/1/2011,1320.640015,73.93,74.519997,31.725
7/1/2011,1292.280029,70.470001,68.139999,33.349998
8/1/2011,1218.890015,66.860001,64.080002,33.02
9/1/2011,1131.420044,60.509998,56.889999,32.654999
10/1/2011,1253.300049,65.790001,64.190002,36.060001
11/1/2011,1246.959961,68.690002,66.059998,34.049999
12/1/2011,1257.599976,73.349998,66.410004,34.790001
1/1/2012,1312.410034,74.18,69.160004,37.014999
2/1/2012,1365.680054,74.949997,73.230003,40.369999
3/1/2012,1408.469971,74.370003,73.379997,41.599998
4/1/2012,1397.910034,76.800003,67.5,41.535
5/1/2012,1310.329956,69.610001,64.010002,44.305
6/1/2012,1362.160034,74.300003,65.959999,47.66
7/1/2012,1379.319946,73.910004,63.439999,45.889999
8/1/2012,1406.579956,71.400002,65.510002,48.375
9/1/2012,1440.670044,69.599998,66.120003,48.700001
10/1/2012,1412.160034,70.440002,68.080002,47.395
11/1/2012,1416.180054,74.279999,66.5,46.68
12/1/2012,1426.189941,75.360001,69.269997,45.580002
1/1/2013,1498.109985,73.870003,66.300003,48.125
2/1/2013,1514.680054,76.900002,67.970001,42.810001
3/1/2013,1569.189941,85.849998,70.510002,43.375
4/1/2013,1597.569946,91.410004,73.959999,44.16
5/1/2013,1630.73999,99.019997,77.099998,51.860001
6/1/2013,1606.280029,102.440002,78.330002,51.48
7/1/2013,1685.72998,105.099998,85.339996,55.580002
8/1/2013,1632.969971,103.919998,83.25,52.75
9/1/2013,1681.550049,117.5,87.519997,58.5
10/1/2013,1756.540039,130.5,86.629997,63.130001
11/1/2013,1805.810059,134.25,91.660004,56.599998
12/1/2013,1848.359985,136.490005,95.550003,57.830002
1/1/2014,1782.589966,125.260002,101.309998,52.259998
2/1/2014,1859.449951,128.919998,109.540001,54.049999
3/1/2014,1872.339966,125.489998,108.919998,50.709999
4/1/2014,1883.949951,129.020004,109.449997,49.700001
5/1/2014,1923.569946,135.25,118.120003,38.240002
6/1/2014,1960.22998,127.230003,116.550003,38.630001
7/1/2014,1930.670044,120.480003,116.769997,38.23
8/1/2014,2003.369995,126.800003,123.25,39.139999
9/1/2014,1972.290039,127.379997,127.089996,38.110001
10/1/2014,2018.050049,124.910004,139.759995,39.330002
11/1/2014,2067.560059,134.360001,145.360001,49.029999
12/1/2014,2058.899902,129.979996,137.619995,50.419998
1/1/2015,1994.98999,145.369995,133.210007,52.099998
2/1/2015,2104.5,150.850006,138.779999,56.490002
3/1/2015,2067.889893,150.080002,135.729996,52.080002
4/1/2015,2085.51001,143.339996,137.320007,47.759998
5/1/2015,2107.389893,140.520004,140.160004,41.240002
6/1/2015,2063.110107,138.720001,141.690002,39.439999
7/1/2015,2103.840088,144.169998,149.110001,36.400002
8/1/2015,1972.180054,130.679993,145.169998,32.759998
9/1/2015,1920.030029,130.949997,137.949997,31.65
10/1/2015,2079.360107,148.070007,148.580002,29.959999
11/1/2015,2080.409912,145.449997,146.460007,29.15
12/1/2015,2043.939941,144.589996,137.360001,33.5
1/1/2016,1940.23999,120.129997,133.770004,29.309999
2/1/2016,1932.22998,118.18,136.270004,31.309999
3/1/2016,2059.73999,126.940002,131.369995,31.110001
4/1/2016,2065.300049,134.800003,140.520004,29.08
5/1/2016,2096.949951,126.150002,141.869995,32.349998
6/1/2016,2098.860107,129.869995,139.240005,32.02
7/1/2016,2173.600098,133.660004,146.889999,30.48
8/1/2016,2170.949951,129.449997,152.220001,30.379999
9/1/2016,2168.27002,131.740005,155.160004,28.35
10/1/2016,2126.149902,142.429993,150.740005,28.290001
11/1/2016,2198.810059,150.559998,175.350006,30.389999
12/1/2016,2238.830078,155.679993,175.389999,30.76
1/1/2017,2278.870117,163.419998,181.080002,30.219999
2/1/2017,2363.639893,180.229996,189.809998,30.67
3/1/2017,2362.719971,176.860001,187.199997,29.719999
4/1/2017,2384.199951,184.830002,193.789993,36.369999
5/1/2017,2399.290039,185.009995,195.970001,36.869999
5/5/2017,2399.290039,185.009995,195.970001,36.869999
